Card Name,Set Name,Normal Price (USD),Foil Price (USD)
+2 Mace,Adventures in the Forgotten Realms,0.04,0.11
Aarakocra Sneak,Commander Legends: Battle for Baldur's Gate,0.11,0.10
Abaddon the Despoiler,"Warhammer 40,000 Commander",,2.94
Abandoned Campground,Duskmourn: House of Horror,0.05,0.05
Abandoned Outpost,Odyssey,0.11,2.67
Abandoned Sarcophagus,Commander 2020,0.08,
Abandon Hope,Tempest,0.26,
Abandon Reason,Eldritch Moon,0.11,0.33
Abandon the Post,Innistrad: Midnight Hunt,0.01,0.03
Abattoir Ghoul,Duel Decks: Blessed vs. Cursed,0.23,
Abbey Gargoyles,Masters Edition II,,
Abbey Griffin,Innistrad,0.09,0.29
Abbey Matron,Homelands,0.09,
Abbot of Keral Keep,Double Masters 2022,0.16,0.16
"Abdel Adrian, Gorion's Ward",Commander Legends: Battle for Baldur's Gate,0.08,0.17
Abduction,Classic Sixth Edition,0.33,
Aberrant,"Warhammer 40,000 Commander",0.49,
Aberrant Mind Sorcerer,Adventures in the Forgotten Realms,0.03,0.14
Aberrant Researcher // Perfected Form,Shadows over Innistrad,0.04,0.22
Abeyance,Weatherlight,7.80,
Abhorrent Oculus,Duskmourn: House of Horror,21.98,25.32
Abhorrent Overlord,Theros,0.57,0.76
Abiding Grace,Modern Horizons 2,0.11,0.38
Abjure,Weatherlight,3.97,
Abnormal Endurance,Core Set 2019,0.07,0.67
Aboleth Spawn,Commander Legends: Battle for Baldur's Gate,3.37,
Abolish,Duel Decks: Elspeth vs. Tezzeret,0.42,
Abominable Treefolk,Modern Horizons,0.16,2.40
Abomination,Fourth Edition,0.20,
Abomination of Gudul,Khans of Tarkir,0.03,0.20
Abomination of Llanowar,Kaldheim Commander,0.35,
Aboroth,Weatherlight,1.24,
"Aboshan, Cephalid Emperor",Odyssey,0.86,16.99
Aboshan's Desire,Odyssey,0.19,6.13
About Face,Urza's Legacy,0.17,3.04
Abrade,Foundations,0.10,0.10
Abraded Bluffs,Outlaws of Thunder Junction,0.18,0.23
Abrupt Decay,Modern Masters 2017,1.53,5.49
Absolute Grace,Urza's Saga,0.38,
Absolute Law,Urza's Saga,0.50,
Absolver Thrull,Guildpact,0.08,0.50
Absolving Lammasu,Murders at Karlov Manor,0.06,0.03
Absorb,Dominaria Remastered,0.36,0.31
Absorb Identity,Kaldheim,0.20,
Absorb Vis,Conspiracy: Take the Crown,0.03,0.37
Abstergo Entertainment,Assassin's Creed,1.07,2.27
Abstruse Appropriation,Modern Horizons 3,0.21,0.29
Abstruse Archaic,Commander Masters,0.76,
Abstruse Interference,Oath of the Gatewatch,0.03,0.36
"Abuelo, Ancestral Echo",The Lost Caverns of Ixalan,0.18,0.23
Abuelo's Awakening,The Lost Caverns of Ixalan,0.07,0.13
Abu Ja'far,Chronicles,0.19,
Abuna Acolyte,Scars of Mirrodin,0.07,0.50
Abuna's Chant,Fifth Dawn,0.08,0.20
Abundance,Commander Masters,0.44,
Abundant Growth,Dominaria United Commander,0.15,
Abundant Harvest,Commander Masters,0.10,0.05
Abundant Maw,Eldritch Moon,0.11,0.37
Abyssal Gatekeeper,Duel Decks Anthology: Divine vs. Demonic,0.78,
Abyssal Gorestalker,The Lost Caverns of Ixalan,0.03,0.09
Abyssal Harvester,Foundations,1.58,1.38
Abyssal Horror,Seventh Edition,0.28,
Abyssal Hunter,Classic Sixth Edition,0.31,
Abyssal Nightstalker,Portal Second Age,0.41,
Abyssal Nocturnus,Guildpact,0.67,1.99
Abyssal Persecutor,Iconic Masters,1.76,14.55
Abyssal Specter,Modern Masters 2017,0.14,0.41
Abzan Advantage,Fate Reforged,0.02,0.24
Abzan Ascendancy,Double Masters 2022,0.13,0.21
Abzan Banner,Khans of Tarkir,0.08,0.35
Abzan Battle Priest,March of the Machine Commander,0.12,
Abzan Beastmaster,Fate Reforged,0.16,0.80
Abzan Charm,Dominaria United Commander,0.09,
Abzan Falconer,March of the Machine Commander,0.14,
Abzan Guide,Khans of Tarkir,0.02,0.23
Abzan Kin-Guard,Fate Reforged,0.04,0.14
Abzan Runemark,Fate Reforged,0.04,0.25
Abzan Skycaptain,Fate Reforged,0.03,0.24
Academic Dispute,Strixhaven: School of Mages,0.03,0.21
Academic Probation,Strixhaven: School of Mages,0.05,0.14
Academy Drake,Dominaria,0.06,0.19
Academy Elite,Commander 2016,0.12,
Academy Journeymage,Dominaria,0.02,0.25
Academy Loremaster,Dominaria United,0.11,0.18
Academy Manufactor,Outlaws of Thunder Junction Commander,3.01,
Academy Raider,Magic 2014,0.02,0.51
Academy Rector,Urza's Destiny,50.54,629.99
Academy Researchers,Tenth Edition,0.13,9.00
Academy Ruins,Double Masters,18.10,15.49
Academy Wall,Dominaria United,0.02,0.14
Accelerate,Torment,0.49,9.31
Accelerated Mutation,Scourge,0.04,0.42
Acceptable Losses,Odyssey,0.08,0.51
Access Denied,Neon Dynasty Commander,0.76,
Access Tunnel,Outlaws of Thunder Junction Commander,0.35,
Acclaimed Contender,March of the Machine Commander,0.27,
Accomplished Alchemist,Strixhaven: School of Mages,0.24,0.41
Accomplished Automaton,Double Masters,0.04,0.01
Accorder Paladin,Mirrodin Besieged,0.16,1.77
Accorder's Shield,Magic 2014,0.18,1.43
Accumulated Knowledge,Masters 25,0.21,0.40
Accursed Centaur,Onslaught,0.16,1.04
Accursed Horde,Game Night 2019,0.15,
Accursed Marauder,Modern Horizons 3,0.15,1.69
Accursed Spirit,Magic 2015,0.02,0.25
Accursed Witch // Infectious Curse,Shadows over Innistrad,0.25,1.89
"Ace, Fearless Rebel",Doctor Who,0.06,0.13
Acererak the Archlich,Adventures in the Forgotten Realms,2.76,4.82
Ace's Baseball Bat,Doctor Who,0.10,0.37
Achilles Davenport,Assassin's Creed,5.07,
